player_id;player_name;team_id;position;matches_played;matches_started;minutes_played;goals;assists;shots;shots_on_target;yellow_cards;red_cards;penalty_goals;own_goals;clean_sheets;saves;goals_conceded;;average_rating
1;JosŽ Raœl Rangel;1;GK;5;5;438;0;0;0;;0;0;0;0;4;7;3;;7.2
2;Jorge Eduardo Sanchez;1;DEF;4;4;349;0;1;1;;1;0;0;0;;;;;6.68
3;CŽsar Jasib Montes;1;DEF;4;4;315;0;0;1;;0;1;0;0;;;;;7.05
4;Edson Omar Alvarez;1;DEF;4;2;239;0;0;2;;1;0;0;0;;;;;7.08
5;Johan Felipe Vasquez;1;DEF;4;4;360;0;0;1;;1;0;0;0;;;;;7.08
6;Erik Antonio Lira;1;MID;4;4;346;0;1;0;;0;0;0;0;;;;;7.03
7;Luis Francisco Romo;1;MID;4;4;268;1;1;3;;0;0;0;0;;;;;6.9
8;çlvaro Fidalgo;1;MID;3;1;95;1;0;3;;0;0;0;0;;;;;7.3
9;Raœl Alonso Jimenez;1;FWD;4;4;319;3;0;18;;0;0;1;0;;;;;7.2
10;Ernesto Alexis Vega;1;FWD;1;0;11;0;0;0;;0;0;0;0;;;;;6.4
11;Santiago Tom‡s Gimenez;1;FWD;4;0;83;0;0;2;;0;0;0;0;;;;;6.55
12;Carlos Acevedo;1;GK;0;0;0;;;;;;;0;0;0;0;0;;
13;Francisco Guillermo Ochoa;1;GK;1;0;12;0;0;0;;0;0;0;0;0;0;0;;6.5
14;Armando Gonzalez;1;FWD;1;0;14;0;0;0;;0;0;0;0;;;;;6.2
15;Israel Reyes;1;DEF;4;2;200;0;0;2;;0;0;0;0;;;;;7.03
16;Juli‡n AndrŽs Quinones;1;FWD;5;5;414;4;1;14;;0;0;0;0;;;;;7.72
17;Orbel’n Pineda;1;MID;2;0;29;0;0;1;;0;0;0;0;;;;;6.35
18;Obed GomŽz Vargas;1;MID;3;0;63;0;0;1;;0;0;0;0;;;;;6.67
19;Gilberto Rafael Mora;1;MID;4;3;216;0;0;5;;0;0;0;0;;;;;6.6
20;Mateo Chavez;1;DEF;1;1;78;1;0;1;;0;0;0;0;;;;;8.1
21;CŽsar Saœl Huerta;1;FWD;1;0;6;0;0;0;;0;0;0;0;;;;;6.6
22;Guillermo Martinez;1;FWD;2;1;72;0;0;0;;0;0;0;0;;;;;6.2
23;Jesœs Daniel Gallardo;1;DEF;5;4;372;0;0;4;;0;0;0;0;;;;;6.72
24;Luis Gerardo Chavez;1;MID;1;0;24;0;0;0;;0;0;0;0;;;;;6.8
25;Roberto Carlos Alvarado;1;FWD;5;5;430;0;3;5;;0;0;0;0;;;;;7.34
26;Brian Gutierrez;1;MID;4;2;197;0;0;6;;1;0;0;0;;;;;6.9
27;Ronwen Hayden Williams;2;GK;4;4;360;0;0;0;;0;0;0;0;1;17;4;;7.15
28;Tholo Thabang Matuludi;2;DEF;0;0;0;;;;;;;0;0;;;;;
