referee_id;name;country;avg_cards_per_game;referee_id
1;Abdulrahman Al-Jassim;Jordan;42;1
2;Adham Makhadmeh;China;55;2
2;Adham Makhadmeh;China;55;2
3;Alejandro José Hernández;Argentina;50;3
4;Alireza Faghani;Portugal;47;4
5;Amin Omar;Italy;48;5
6;Anthony Taylor;Sweden;31;6
7;César Arturo Ramos;Argentina;50;7
7;César Arturo Ramos;Argentina;50;7
8;Clément Turpin;Honduras;41;8
9;Cristián Garay;Uruguay;51;9
10;Dahane Beida;Slovenia;41;10
11;Danny Makkelie;England;41;11
12;Darío Herrera;Brazil;41;12
13;Drew Fischer;Argentina;54;13
14;Espen Eskås;Sweden;31;14
15;Facundo Tello;England;39;15
16;Felix Zwayer;Australia;42;16
17;François Letexier;Algeria;37;17
18;Glenn Nyberg;Brazil;41;18
19;Gustavo Tejera;Canada;33;19
20;Ilgiz Tantashev;Japan;34;20
21;Ismail Elfath;El Salvador;51;21
22;István Kovács;Jordan;42;22
23;Iván Barton;Portugal;47;23
24;Jalal Jayed;Mexico;40;24
24;Jalal Jayed;Mexico;40;24
25;Jesús Valenzuela;Brazil;45;25
26;João Pinheiro;Argentina;54;26
26;João Pinheiro;Argentina;54;26
27;Juan Gabriel Benítez;Morocco;46;27
28;Katia Itzel García;Uruguay;51;28
29;Ma Ning;Slovenia;41;29
30;Maurizio Mariani;Japan;34;30
31;Michael Oliver;Italy;48;31
32;Mustapha Ghorbal;Venezuela;49;32
33;Omar Al Ali;Norway;29;33
33;Omar Al Ali;Norway;29;33
34;Pierre Atcho;Italy;48;34
35;Rafael Claus;Argentina;54;35
36;Ramon Abatti;Australia;42;36
37;Raphael Claus;Honduras;41;37
38;Saíd Martínez;France;36;38
39;Slavko Vincic;Netherlands;38;39
40;Szymon Marciniak;Morocco;46;40
40;Szymon Marciniak;Morocco;46;40
41;Tori Penso;Norway;29;41
42;Wilton Sampaio;Poland;42;42
43;Yael Falcón;Norway;29;43
