match_id;date;kickoff_time_utc;stage_id;venue_id;home_team_id;away_team_id;home_score;away_score;home_penalty_score;away_penalty_score;status;result_type;home_xg;away_xg;referee_id;player_of_the_match_id;capacidad_estadio_pct;clima
1;11/06/2026;19:00:00;1;1;1;2;2;0;;;Completed;Regular;184;52;42.0;16;63.1;soleado
2;11/06/2026;23:00:00;1;7;3;4;2;1;;;Completed;Regular;145;112;5.0;58;91.2;soleado
3;06/12/2026;19:00:00;1;6;5;6;1;1;;;Completed;Regular;135;98;15.0;112;;
4;12 June 2026;23:00:00;1;3;13;14;4;1;;;Completed;Regular;276;88;11.0;332;88.9;soleado
5;June 13, 2026;15:00:00;1;10;7;8;1;1;;;Completed;Regular;78;154;38.0;157;;soleado
6;13-jun-26;18:00:00;1;2;9;10;1;1;;;Completed;Regular;162;11;39.0;215;81.5;Nublado
7;13/06/2026;21:00:00;1;14;11;12;0;1;;;Completed;Regular;125;65;32.0;293;;lluvia 
8;2026-06-13T19:00:00Z;23:59:00;1;16;15;16;2;0;;;Completed;Regular;148;72;25.0;381;62.9;Nublado
9;14.06.2026;15:00:00;1;9;17;18;7;1;;;Completed;Regular;482;44;24.0;423;70.7;lluvia 
10;Jun 14 2026;18:00:00;1;15;21;22;2;2;;;Completed;Regular;195;182;21.0;524;80.0;Soleado
11;20260614;21:00:00;1;11;19;20;1;0;;;Completed;Regular;11;95;17.0;479;87.2;Nublado
12;14 de junio de 2026;23:59:00;1;12;23;24;5;1;;;Completed;Regular;312;78;43.0;581;92.1;Nublado
13;15/06/2026;15:00:00;1;13;29;30;0;0;;;Completed;Regular;215;35;2.0;755;75.2;Nublado
14;15/06/2026;18:00:00;1;4;25;26;1;1;;;Completed;Regular;158;112;36.0;658;62.6;lluvia 
15;06-15-2026;21:00:00;1;8;31;32;1;1;;;Completed;Regular;85;176;30.0;801;71.5;soleado
16;15 June 2026;23:59:00;1;5;27;28;2;2;;;Completed;Regular;188;12;7.0;699;96.4;lluvia 
17;June 16, 2026;15:00:00;1;2;33;34;3;1;;;Completed;Regular;244;105;4.0;843;68.5;
18;16-jun-26;18:00:00;1;10;35;36;1;4;;;Completed;Regular;68;285;34.0;919;78.1;Lluvia
19;16/06/2026;21:00:00;1;3;37;38;3;0;;;Completed;Regular;265;42;40.0;946;97.2;Soleado
20;2026-06-16T19:00:00Z;23:59:00;1;15;39;40;3;1;;;Completed;Regular;198;88;10.0;1023;61.0;Lluvia
21;17.06.2026;15:00:00;1;9;41;42;1;1;;;Completed;Regular;178;115;1.0;1055;84.0;Nublado
22;Jun 17 2026;18:00:00;1;13;45;46;4;2;;;Completed;Regular;292;164;8.0;1153;98.0;Nublado
23;20260617;21:00:00;1;11;47;48;1;0;;;Completed;Regular;13;75;18.0;1207;69.2;Nublado
24;17 de junio de 2026;23:59:00;1;16;43;44;1;3;;;Completed;Regular;95;21;6.0;1125;130.5;lluvia 
25;18/06/2026;15:00:00;1;9;1;3;1;0;;;Completed;Regular;162;58;41.0;7;-15.0;Lluvia
26;18/06/2026;18:00:00;1;3;4;2;1;1;;;Completed;Regular;135;115;26.0;96;65.3;Soleado
27;06-18-2026;21:00:00;1;5;5;7;6;0;;;Completed;Regular;382;22;9.0;114;;Nublado
28;18 June 2026;23:59:00;1;1;8;6;4;1;;;Completed;Regular;245;88;19.0;191;90.0;Lluvia
29;June 19, 2026;15:00:00;1;2;9;11;3;0;;;Completed;Regular;116;9;16.0;217;86.8;Nublado
30;19-jun-26;18:00:00;1;4;12;10;0;1;;;Completed;Regular;97;54;20.0;245;78.7;
31;19/06/2026;21:00:00;1;6;13;15;2;0;;;Completed;Regular;121;32;3.0;332;;Nublado
32;2026-06-19T19:00:00Z;23:59:00;1;8;16;14;0;1;;;Completed;Regular;4;3;23.0;361;79.6;soleado
33;20.06.2026;15:00:00;1;10;17;19;2;1;;;Completed;Regular;185;72;31.0;442;74.9;soleado
34;Jun 20 2026;18:00:00;1;12;20;18;0;0;;;Completed;Regular;192;8;27.0;443;79.1;
35;20260620;21:00:00;1;14;21;23;5;1;;;Completed;Regular;345;88;29.0;531;74.6;DESPEJADO
36;20 de junio de 2026;23:59:00;1;16;24;22;0;4;;;Completed;Regular;35;312;22.0;564;93.5;Lluvia
37;21/06/2026;15:00:00;1;11;25;27;0;0;;;Completed;Regular;145;62;37.0;677;90.7;
38;21/06/2026;18:00:00;1;13;28;26;1;3;;;Completed;Regular;55;215;12.0;660;;soleado
39;06-21-2026;21:00:00;1;15;29;31;4;0;;;Completed;Regular;328;25;14.0;749;82.9;lluvia 
40;21 June 2026;23:59:00;1;2;32;30;2;2;;;Completed;Regular;165;11;33.0;755;71.0;lluvia 
41;June 22, 2026;15:00:00;1;4;33;35;3;0;;;Completed;Regular;221;45;5.0;842;78.1;lluvia 
42;22-jun-26;18:00:00;1;6;36;34;3;2;;;Completed;Regular;195;148;13.0;919;74.1;soleado
43;22/06/2026;21:00:00;1;8;37;39;2;0;;;Completed;Regular;178;55;42.0;946;86.3;
44;2026-06-22T19:00:00Z;23:59:00;1;10;40;38;1;2;;;Completed;Regular;88;192;39.0;984;74.8;soleado
45;23.06.2026;15:00:00;1;12;41;43;5;0;;;Completed;Regular;354;42;24.0;1047;78.4;soleado
46;Jun 23 2026;18:00:00;1;14;44;42;1;0;;;Completed;Regular;162;58;38.0;1120;88.8;DESPEJADO
47;20260623;21:00:00;1;16;45;47;0;0;;;Completed;Regular;112;89;34.0;1147;76.5;
48;23 de junio de 2026;23:59:00;1;1;48;46;0;1;;;Completed;Regular;42;148;30.0;1181;96.3;lluvia 
49;24/06/2026;18:00:00;1;1;4;1;0;3;;;Completed;Regular;11;127;36.0;20;67.2;Soleado
50;24/06/2026;18:00:00;1;7;2;3;1;0;;;Completed;Regular;126;139;25.0;38;89.6;Soleado
51;06-24-2026;22:00:00;1;5;8;5;2;1;;;Completed;Regular;71;135;7.0;191;76.9;Nublado
52;24 June 2026;22:00:00;1;6;6;7;3;1;;;Completed;Regular;148;95;11.0;149;77.1;
